index	sentence1	sentence2
54	In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.
55	In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.
56	We consider some context words as positive examples and sample negatives at random from the dictionary.	We consider some words as positive examples and sample negatives at random from the dictionary.
57	We consider some words as positive examples and sample negatives at random from the dictionary.	We consider some context words as positive examples and sample negatives at random from the dictionary.
58	We consider some context words as positive examples and sample negatives at random from the dictionary.	We consider all context words as positive examples and sample many negatives at random from the dictionary.
59	We consider all context words as positive examples and sample many negatives at random from the dictionary.	We consider some context words as positive examples and sample negatives at random from the dictionary.
60	We consider some context words as positive examples and sample negatives at random from the dictionary.	We consider many context words as positive examples and sample negatives at random from the dictionary.
61	We consider many context words as positive examples and sample negatives at random from the dictionary.	We consider some context words as positive examples and sample negatives at random from the dictionary.
62	We consider all context words as positive examples and sample negatives at random from the dictionary.	We consider all words as positive examples and sample negatives at random from the dictionary.
63	We consider all words as positive examples and sample negatives at random from the dictionary.	We consider all context words as positive examples and sample negatives at random from the dictionary.
64	All dogs like to scratch their ears.	All animals like to scratch their ears.
65	All animals like to scratch their ears.	All dogs like to scratch their ears.
66	Cruz has frequently derided as "amnesty" any plan that confers legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as "amnesty" any bill that confers legal status or citizenship on people living in the country illegally.
67	Cruz has frequently derided as "amnesty" any bill that confers legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as "amnesty" any plan that confers legal status or citizenship on people living in the country illegally.
68	Most of the graduates of my program have moved on to other things because the jobs suck.	None of the graduates of my program have moved on to other things because the jobs suck.
69	None of the graduates of my program have moved on to other things because the jobs suck.	Most of the graduates of my program have moved on to other things because the jobs suck.
70	Most of the graduates of my program have moved on to other things because the jobs suck.	All of the graduates of my program have moved on to other things because the jobs suck.
71	All of the graduates of my program have moved on to other things because the jobs suck.	Most of the graduates of my program have moved on to other things because the jobs suck.
72	In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.
73	In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.
74	Tom and Adam were whispering in the theater.	Tom and Adam were whispering quietly in the theater.
75	Tom and Adam were whispering quietly in the theater.	Tom and Adam were whispering in the theater.
76	Tom and Adam were whispering in the theater.	Tom and Adam were whispering loudly in the theater.
77	Tom and Adam were whispering loudly in the theater.	Tom and Adam were whispering in the theater.
78	Prior to the dance, which is voluntary, students are told to fill out a card by selecting five people they want to dance with.	Prior to the dance, which is voluntary, students are told to fill out a card by selecting five different people they want to dance with.
79	Prior to the dance, which is voluntary, students are told to fill out a card by selecting five different people they want to dance with.	Prior to the dance, which is voluntary, students are told to fill out a card by selecting five people they want to dance with.
80	Notifications about Farmville and other crap had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns.	Notifications about Farmville and other crappy apps had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns.
81	Notifications about Farmville and other crappy apps had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns.	Notifications about Farmville and other crap had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns.
82	Chicago City Hall is the official seat of government of the City of Chicago.	Chicago City Hall is the official seat of government of Chicago.
83	Chicago City Hall is the official seat of government of Chicago.	Chicago City Hall is the official seat of government of the City of Chicago.
84	The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous formulations of the task.	The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous other formulations of the task.
85	The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous other formulations of the task.	The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous formulations of the task.
86	John ate pasta for dinner.	John ate pasta for supper.
87	John ate pasta for supper.	John ate pasta for dinner.
88	John ate pasta for dinner.	John ate pasta for breakfast.
89	John ate pasta for breakfast.	John ate pasta for dinner.
90	House Speaker Paul Ryan was facing problems from fellow Republicans dissatisfied with his leadership.	House Speaker Paul Ryan was facing problems from fellow Republicans unhappy with his leadership.
91	House Speaker Paul Ryan was facing problems from fellow Republicans unhappy with his leadership.	House Speaker Paul Ryan was facing problems from fellow Republicans dissatisfied with his leadership.
92	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans dissatisfied with his leadership.	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans supportive of his leadership.
93	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans supportive of his leadership.	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans dissatisfied with his leadership.
94	I can actually see him climbing into a Lincoln saying this.	I can actually see him getting into a Lincoln saying this.
95	I can actually see him getting into a Lincoln saying this.	I can actually see him climbing into a Lincoln saying this.
96	I can actually see him climbing into a Lincoln saying this.	I can actually see him climbing into a Mazda saying this.
97	I can actually see him climbing into a Mazda saying this.	I can actually see him climbing into a Lincoln saying this.
98	The villain is the character who tends to have a negative effect on other characters.	The villain is the character who tends to have a negative impact on other characters.
99	The villain is the character who tends to have a negative impact on other characters.	The villain is the character who tends to have a negative effect on other characters.
100	The villain is the character who tends to have a negative effect on other characters.	The villain is the character who tends to have a negative correlation with other characters.
101	The villain is the character who tends to have a negative correlation with other characters.	The villain is the character who tends to have a negative effect on other characters.
102	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Semantic parsing typically needs a set of operations to query the knowledge base and process the results.
103	Semantic parsing typically needs a set of operations to query the knowledge base and process the results.	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.
104	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Semantic parsing typically creates a set of operations to query the knowledge base and process the results.
105	Semantic parsing typically creates a set of operations to query the knowledge base and process the results.	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.
106	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Semantic parsing infrequently creates a set of operations to query the knowledge base and process the results.
107	Semantic parsing infrequently creates a set of operations to query the knowledge base and process the results.	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.
108	John broke the window.	The window was broken by John.
109	The window was broken by John.	John broke the window.
110	John broke the window.	The window broke John.
111	The window broke John.	John broke the window.
112	Mueller’s team asked former senior Justice Department officials for information.	Former senior Justice Department officials were asked for information by Mueller's team.
113	Former senior Justice Department officials were asked for information by Mueller's team.	Mueller’s team asked former senior Justice Department officials for information.
114	Mueller’s team asked former senior Justice Department officials for information.	Mueller’s team was asked for information by former senior Justice Department officials.
115	Mueller’s team was asked for information by former senior Justice Department officials.	Mueller’s team asked former senior Justice Department officials for information.
116	Mueller’s team asked former senior Justice Department officials for information.	Mueller’s team was asked for information.
117	Mueller’s team was asked for information.	Mueller’s team asked former senior Justice Department officials for information.
118	Mueller’s team asked former senior Justice Department officials for information.	Former senior Justice Department officials weren't asked for information.
119	Former senior Justice Department officials weren't asked for information.	Mueller’s team asked former senior Justice Department officials for information.
120	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when Congress was asked to allow his cabinet secretaries to terminate whoever they want.
121	Everyone should be afraid of the part when Congress was asked to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.
122	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when he was asked to allow his cabinet secretaries to terminate whoever they want.
123	Everyone should be afraid of the part when he was asked to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.
124	Cape sparrows eat seeds, along with soft plant parts and insects.	Seeds, along with soft plant parts and insects, are eaten by cape sparrows.
125	Seeds, along with soft plant parts and insects, are eaten by cape sparrows.	Cape sparrows eat seeds, along with soft plant parts and insects.
126	Cape sparrows eat seeds, along with soft plant parts and insects.	Cape sparrows are eaten by seeds, along with soft plant parts and insects.
127	Cape sparrows are eaten by seeds, along with soft plant parts and insects.	Cape sparrows eat seeds, along with soft plant parts and insects.
128	Cape sparrows eat seeds, along with soft plant parts and insects.	Cape sparrows are eaten.
129	Cape sparrows are eaten.	Cape sparrows eat seeds, along with soft plant parts and insects.
130	Cape sparrows eat seeds, along with soft plant parts and insects.	Soft plant parts and insects eat seeds.
131	Soft plant parts and insects eat seeds.	Cape sparrows eat seeds, along with soft plant parts and insects.
132	Cape sparrows eat seeds, along with soft plant parts and insects.	Soft plant parts and insects are eaten.
133	Soft plant parts and insects are eaten.	Cape sparrows eat seeds, along with soft plant parts and insects.
134	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Knowledge bases are populated with facts from unstructured text corpora by relation extraction systems.
135	Knowledge bases are populated with facts from unstructured text corpora by relation extraction systems.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.
136	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Knowledge bases are populated by relation extraction systems with facts from unstructured text corpora.
137	Knowledge bases are populated by relation extraction systems with facts from unstructured text corpora.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.
138	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Relation extraction systems are populated by knowledge bases with facts from unstructured text corpora.
139	Relation extraction systems are populated by knowledge bases with facts from unstructured text corpora.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.
140	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Relation extraction systems are populated with facts from unstructured text corpora by knowledge bases.
141	Relation extraction systems are populated with facts from unstructured text corpora by knowledge bases.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.
142	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Relation extraction systems populate knowledge bases with assertions from unstructured text corpora.
143	Relation extraction systems populate knowledge bases with assertions from unstructured text corpora.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.
144	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.	The recent move by Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.
145	The recent move by Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.
146	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.	The recent move against Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.
147	The recent move against Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.
148	The man gets down on one knee and inspects the bottom of the elephant's foot only to find a large thorn deeply embedded.	The man gets down on one knee and inspects the bottom of the foot of the elephant only to find a large thorn deeply embedded.
149	The man gets down on one knee and inspects the bottom of the foot of the elephant only to find a large thorn deeply embedded.	The man gets down on one knee and inspects the bottom of the elephant's foot only to find a large thorn deeply embedded.
150	The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities.	The population of the Cape sparrow has not decreased significantly, and is not seriously threatened by human activities.
151	The population of the Cape sparrow has not decreased significantly, and is not seriously threatened by human activities.	The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities.
152	The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities.	The population of the Cape sparrow has decreased significantly, and is seriously threatened by human activities.
153	The population of the Cape sparrow has decreased significantly, and is seriously threatened by human activities.	The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities.
154	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.	This paper presents an approach for understanding these message vectors' content by translating them into natural language.
155	This paper presents an approach for understanding these message vectors' content by translating them into natural language.	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.
156	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.	This paper presents an approach for understanding the contents of these message vectors by translating them into foreign language.
157	This paper presents an approach for understanding the contents of these message vectors by translating them into foreign language.	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.
158	She is skilled at violin.	She is a skilled violinist.
159	She is a skilled violinist.	She is skilled at violin.
160	She is skilled.	She is a skilled violinist.
161	She is a skilled violinist.	She is skilled.
162	She is a surgeon and skilled violinist.	She is a skilled surgeon.
163	She is a skilled surgeon.	She is a surgeon and skilled violinist.
164	The combination of mentos and diet coke caused the explosion.	Combining mentos and diet coke caused the explosion.
165	Combining mentos and diet coke caused the explosion.	The combination of mentos and diet coke caused the explosion.
166	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times.	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's submission of a letter of resignation, according to The New York Times.
167	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's submission of a letter of resignation, according to The New York Times.	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times.
168	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times.	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's withholding of a letter of resignation, according to The New York Times.
169	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's withholding of a letter of resignation, according to The New York Times.	In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times.
170	Thought this was super cool, and a really important step in preserving all the physical books.	Thought this was super cool, and a really important step in the preservation of all the physical books.
171	Thought this was super cool, and a really important step in the preservation of all the physical books.	Thought this was super cool, and a really important step in preserving all the physical books.
172	Thought this was super cool, and a really important step in preserving all the physical books.	Thought this was super cool, and a really important step in the destruction of all the physical books.
173	Thought this was super cool, and a really important step in the destruction of all the physical books.	Thought this was super cool, and a really important step in preserving all the physical books.
174	Thought this was super cool, and a really important step in preserving all the physical books.	Thought this was super cool, and a really important step in the processing of all the physical books.
175	Thought this was super cool, and a really important step in the processing of all the physical books.	Thought this was super cool, and a really important step in preserving all the physical books.
176	Thought this was super cool, and a really important step in preserving all the physical books.	Thought this was super cool, and a really important step in all the physical books' preservation.
177	Thought this was super cool, and a really important step in all the physical books' preservation.	Thought this was super cool, and a really important step in preserving all the physical books.
178	During World War II, the five remaining Greek boats were sunk by Axis aircraft during the German invasion of Greece in April 1941.	During World War II, the five remaining Greek boats were sunk by Axis aircraft when the Germans invaded Greece in April 1941.
179	During World War II, the five remaining Greek boats were sunk by Axis aircraft when the Germans invaded Greece in April 1941.	During World War II, the five remaining Greek boats were sunk by Axis aircraft during the German invasion of Greece in April 1941.
180	During World War II, the five remaining Greek boats were sunk by Axis aircraft during the German invasion of Greece in April 1941.	During World War II, the five remaining Greek boats were sunk by Axis aircraft during the Greek invasion of Germany in April 1941.
181	During World War II, the five remaining Greek boats were sunk by Axis aircraft during the Greek invasion of Germany in April 1941.	During World War II, the five remaining Greek boats were sunk by Axis aircraft during the German invasion of Greece in April 1941.
182	Often, the first step in building statistical NLP models involves feature extraction.	Often, the first step in building statistical NLP models involves extracting features.
183	Often, the first step in building statistical NLP models involves extracting features.	Often, the first step in building statistical NLP models involves feature extraction.
184	Bob likes Alice.	Alice likes Bob.
185	Alice likes Bob.	Bob likes Alice.
186	Bob is Alice's parent.	Alice is Bob's parent.
187	Alice is Bob's parent.	Bob is Alice's parent.
188	President Trump will ask Republican lawmakers to use a controversial White House framework as the baseline for a coming Senate debate on immigration policy.	Republican lawmakers will ask President Trump to use a controversial White House framework as the baseline for a coming Senate debate on immigration policy.
189	Republican lawmakers will ask President Trump to use a controversial White House framework as the baseline for a coming Senate debate on immigration policy.	President Trump will ask Republican lawmakers to use a controversial White House framework as the baseline for a coming Senate debate on immigration policy.
190	Mythbusters proved that bulls react to movement and not color.	Bulls proved that mythbusters react to movement and not color.
191	Bulls proved that mythbusters react to movement and not color.	Mythbusters proved that bulls react to movement and not color.
192	The models generate translations with their constituency tree and their attention-derived alignments.	The translations generate models with their constituency tree and their attention-derived alignments.
193	The translations generate models with their constituency tree and their attention-derived alignments.	The models generate translations with their constituency tree and their attention-derived alignments.
194	Bob married Alice.	Alice married Bob.
195	Alice married Bob.	Bob married Alice.
196	The head of Russia's foreign spy service met with top U.S. intelligence officials, despite existing sanctions.	Top U.S. intelligence officials met with the head of Russia's foreign spy service, despite existing sanctions.
197	Top U.S. intelligence officials met with the head of Russia's foreign spy service, despite existing sanctions.	The head of Russia's foreign spy service met with top U.S. intelligence officials, despite existing sanctions.
198	Bees do not follow the same rules as airplanes.	Airplanes do not follow the same rules as bees.
199	Airplanes do not follow the same rules as bees.	Bees do not follow the same rules as airplanes.
200	Bees do not follow the same rules as airplanes.	Bees fly using a different mechanism from airplanes.
201	Bees fly using a different mechanism from airplanes.	Bees do not follow the same rules as airplanes.
202	Bees do not follow the same rules as airplanes.	Bees fly using the same mechanism as airplanes.
203	Bees fly using the same mechanism as airplanes.	Bees do not follow the same rules as airplanes.
204	Bees do not follow the same rules as airplanes.	Bees are more energy-efficient flyers than airplanes.
205	Bees are more energy-efficient flyers than airplanes.	Bees do not follow the same rules as airplanes.
206	Leslie Dixon is married to fellow screenwriter and producer Tom Ropelewski.	Tom Ropelewski is married to fellow screenwriter and producer Leslie Dixon.
207	Tom Ropelewski is married to fellow screenwriter and producer Leslie Dixon.	Leslie Dixon is married to fellow screenwriter and producer Tom Ropelewski.
208	This means that solving analogy questions with vector arithmetic is mathematically equivalent to seeking a word that is similar to x and y but is different from z.	This means that seeking a word that is similar to x and y but is different from z is mathematically equivalent to solving analogy questions with vector arithmetic.
209	This means that seeking a word that is similar to x and y but is different from z is mathematically equivalent to solving analogy questions with vector arithmetic.	This means that solving analogy questions with vector arithmetic is mathematically equivalent to seeking a word that is similar to x and y but is different from z.
210	Bob married Alice.	Bob and Alice got married.
211	Bob and Alice got married.	Bob married Alice.
212	Tulsi Gabbard disagrees with Bernie Sanders on what is the best way to deal with Bashar al-Assad.	Tulsi Gabbard and Bernie Sanders disagree on what is the best way to deal with Bashar al-Assad.
213	Tulsi Gabbard and Bernie Sanders disagree on what is the best way to deal with Bashar al-Assad.	Tulsi Gabbard disagrees with Bernie Sanders on what is the best way to deal with Bashar al-Assad.
214	It reminds me of the times I played Super Mario with my little brother.	It reminds me of the times my little brother and I played Super Mario.
215	It reminds me of the times my little brother and I played Super Mario.	It reminds me of the times I played Super Mario with my little brother.
216	In this PC game, Shredder fights the turtles in his Manhattan hideout.	In this PC game, Shredder and the turtles fight in his Manhattan hideout.
217	In this PC game, Shredder and the turtles fight in his Manhattan hideout.	In this PC game, Shredder fights the turtles in his Manhattan hideout.
218	If their vectors' cosine similarity is high, we can conclude that "cat" is similar to "dog".	If their vectors' cosine similarity is high, we can conclude that "cat" and "dog" are similar.
219	If their vectors' cosine similarity is high, we can conclude that "cat" and "dog" are similar.	If their vectors' cosine similarity is high, we can conclude that "cat" is similar to "dog".
220	Jane had a party on Sunday.	On Sunday, Jane had a party.
221	On Sunday, Jane had a party.	Jane had a party on Sunday.
222	For decades, the FBI has been trusted to investigate corruption inside the government.	The FBI has been trusted to investigate corruption inside the government for decades.
223	The FBI has been trusted to investigate corruption inside the government for decades.	For decades, the FBI has been trusted to investigate corruption inside the government.
224	I was driving through my neighborhood a few weeks ago, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car.	A few weeks ago, I was driving through my neighborhood, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car.
225	A few weeks ago, I was driving through my neighborhood, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car.	I was driving through my neighborhood a few weeks ago, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car.
226	Bass River timber was used in construction of the Empire State Building.	In construction of the Empire State Building, Bass River timber was used.
227	In construction of the Empire State Building, Bass River timber was used.	Bass River timber was used in construction of the Empire State Building.
