request,SearchScreeningEvent
Find the movie times for Caribbean Cinemas.,1
Which movie theatre with Clean and Sober is closest to me?,1
What time is The Crystal Gazer playing at the closest cinema?,1
Where is Among the Great Apes with Michelle Yeoh playing and when,1
find Lost in Space,1
Find the movie schedule for the Cineplex Odeon Corporation.,1
Show me the movie times ,1
What is the nearest movie house playing Black Scorpion,1
Find the movie schedules for movies close by,1
find Dipson Theatres with Swiss Army Man at 8 p.m.,1
What time is Mon Amour: Shesher Kobita Revisited playing,1
What time are animated movies playing in the area ,1
show animated movie at Century Theatres,1
find seven AM movies at Dipson Theatres,1
Is Prophecy playing at Malco Theatres,1
I need a list of places in the area  that I can see animated movies in six minutes ,1
List movie times at Cinemark Theatres,1
Show me a movie theatre where Screamplay is playing,1
Find movie times for Great Escape Theatres,1
I'd like to watch movies now right nearby,1
Find the schedule for for The Day of the Jackal at Pacific Theatres.,1
What time is Roy Colt & Winchester Jack playing at movie house,1
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM,1
Find the movie schedule for B&B Theatres.,1
Where is the nearest cinema showing horror films today?,1
Show me the schedule for ArcLight Hollywood for animated movies,1
show movie times for movies in the area,1
What movies are playing one hour from now at Cooper Foundation?,1
Find the schedule for Screen Souvenirs at Cinemark Theatres.,1
What's the closest movie theatre that's showing Dough Nuts?,1
When is Ode to Billy Joe playing at the closest movie house?,1
Show me the movie schedules,1
Is The Wash playing at the cinema in one minute,1
Is Fighting With Buffalo Bill playing at the closest movie house,1
find Plitt Theatres movie schedules,1
What are the current movie schedules?,1
What movie times are around here playing animated movies,1
where can i watch animated movies around here,1
Find the movie schedule for Century Theatres.,1
show movie schedule,1
Find a movie schedule.,1
Is Covered Wagon Days playing at B&B Theatres in 1 second?,1
find Regal Entertainment Group animated movies,1
What is the movie schedule for animated movies playing in the neighborhood?,1
Show me the current movie times,1
Find the movie schedule for Fox Theatres at supper time.,1
What time is Hitman City playing,1
Can I get the movie schedules in the neighbourhood for the newest films,1
Are there any movies playing at 5 am at North American Cinemas?,1
Give me a list of films that play in the neighbourhood,1
i need movie times for films in the neighbourhood ,1
What films are playing at Pacific Theatres,1
What time is Living Is Easy with Eyes Closed playing,1
What time is Crush and Blush playing at Kerasotes Theatres,1
What time is The Rumyantsev Case playing at the closest cinema,1
find Berlin to the Samba Beat,1
Find the schedule for Project Shadowchaser II at the cinema in eighteen hours.,1
I'd like showtimes for The Story of Wish You Were Here.,1
"find the nearest place at four o'clock with a movie house showing Wow, The Kid Gang of Bandits",1
find a movie theatre with Intersections that is nearest,1
Show me the movie schedule for nearby movies.,1
What time is The Man Who Dared playing at the movie theatre?,1
in the area find some films,1
what are the movie times for Dickinson Theatres,1
Let me know when I can watch Actrices.,1
show the schedule of movie Unborn but Forgotten,1
What movies are starting in 1 second at a theater in the neighborhood?,1
show me the schedule of movie Michel Strogoff,1
find Dipson Theatres animated movies,1
What movie house is playing the animated movies nearest?,1
Can I see the upcoming movie schedule?,1
find a movie house nearest for films,1
What films are playing at Dipson Theatres and when ,1
Which animated movies are playing in the neighbourhood ?,1
when is Good Will Evil playing at Loews Cineplex Entertainment,1
What time is G-Men vs The Black Dragon playing at Harkins Theatres,1
What are the movie schedules at ArcLight Hollywood,1
show me the schedule of movies in Pacific Theatres,1
What time is AMC Theaters playing Unnikrishnante Adyathe Christmas,1
What cinema is Health Warning playing in eleven hours?,1
Is Dummy playing at two a.m.?,1
I'd like to see movie schedules for animated movies around here,1
Find out what films are being played in the neighbourhood,1
"When is Fine, Totally Fine playing?",1
What films are playing in the neighbourhood,1
what day does the movie Star of the Circus play at ten PM,1
what time can i see Older Office Lady: Using Her Seductive Tongue at Star Theatres,1
What movies are playing Douglas Theatre Company,1
What time is Adam at Six A.M. playing,1
Show me the closest 12 A.M. showing at a movie house of an animated movie,1
When and where can I watch National Priority?,1
Show me the new showings for animated movies in the neighborhood,1
Where can I watch The Sword of Ali Baba at two p.m.?,1
show movie schedules for animated movies in the neighbourhood,1
Is Sheikh Chilli playing,1
I'd like to watch Three Word Brand at the cinema,1
Show me movie times for movies in the neighborhood,1
Find animated movies at Landmark Theatres at dinner time.,1
find animated movies nearby,1
what's the movie schedule at National Amusements,1
What is the movie schedule at MJR Theatres?,1
What movie times,1
show me the schedule of films in Cobb Theatres,1
What time is The Toll of the Sea playing,1
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.,1
movie schedules for animated movies playing in the neighbourhood,1
What is the nearest movie theatre playing Kate y Leopold?,1
Find movie times for Century Theatres.,1
Where can I see Joy of Learning?,1
What films are at IMAX Corporation at 11 p.m.,1
Where is Nichiren to Mōko Daishūrai playing,1
Find me showtimes for animated movies in the neighbourhood.,1
find movie schedule in Pacific Theatres,1
Does Pacific Theatres have animated movies starting in 1 minute?,1
Where is Shake Your Powder Puff playing,1
I'd like to watch The Slender Thread at 6 PM,1
Where is the closest cinema that features animated movies,1
Is The Young Guard playing at the closest cinema,1
What movies are playing at the nearest cinema,1
Find out what films are playing at North American Cinemas,1
can i have the local movie times,1
I'm wondering what movies will be laying around here.,1
Please show me the movie schedule for animated movies playing in the neighborhood.,1
what movie is at Loews Cineplex Entertainment,1
find National Amusements showing The Trouble with Harry,1
"find The Good Girl at a movie house
",1
Can I get the Butterfly Crush showings,1
Tell me the closest movie house playing Black Rage,1
show me the schedule of movie The Da Vinci Code,1
What are the movie schedules for the Caribbean Cinemas,1
Find the movie times now.,1
When is The Blood of Others playing?,1
Where is The Toxic Avenger II playing,1
When is The Woman going to be scheduled at the closest movie house?,1
Can I see movie schedules for movies this evening in the neighbourhood?,1
List movie schedule.,1
Show me movie schedules,1
Are any animated movies scheduled for release in Mann Theatres?,1
I need to know when Sensation in Morgan’s Creek is playing,1
find On Dress Parade,1
What are the movie schedules for movies playing in the neighborhood ,1
show movie schedule at Cinemark Theatres,1
movie schedule  of films around here,1
Which animated movies are playing in the neighbourhood and when?,1
Can i get the movie schedules for Speakeasy Theaters?,1
What time is Sontha Ooru playing,1
What time is Doc Savage: The Man of Bronze playing,1
Let me know when The Maiden Danced to Death will be screened at a cinema.,1
where can i watch Willy Wonka & the Chocolate Factory,1
find Death Is Called Engelchen at Neighborhood Cinema Group,1
What movie theatre playing animated movies is the closest,1
when can i see Dinosaur from the Deep,1
find Careless Love,1
When is The Bleeding House playing at Amco Entertainment?,1
"What are the movie times
",1
what movies are showing in the neighbourhood,1
Check the movie timings for Cracked Nuts at Southern Theatres.,1
What film is playing in the neighbourhood,1
Fine the movie schedule for Warren Theatres.,1
Fine movie times for Loews Cineplex Entertainment.,1
When is The Blood Stain playing at the movie house?,1
find a movie schedule in the neighborhood for films,1
Can I get the movie schedule for Loews Cineplex Entertainment?,1
show me the movie schedule,1
Please tell me movie times,1
show me the schedule of movie Interview: The Documentary in Loews Cineplex,1
find Heat Wave,1
I'd like to watch Abbott and Costello Meet Captain Kidd at the nearest cinema,1
What films are playing around here,1
find Kerasotes Theatres showing animated movies,1
What time is Project Censored the Movie playing at the movie house,1
Is The Skull playing at Loews Cineplex,1
Which movies are being screened around here?,1
give me the movie schedule for films in the area ,1
I need information on movie schedules,1
She me that movie schedule,1
What are the selections of films that are being shown at Cinemark Theatres?,1
find a cinema showing The Mandrake nearest at one o'clock,1
What are the movie times for movies close by,1
Tell me the movie schedule for Warren Theatres,1
Is Romulus and the Sabines playing at the nearest cinema at ten,1
Is The Angelus playing at the movie house at dinner time?,1
I would like to see the closest cinema playing films.,1
Find movie schedules for IMAX Corporation.,1
What is the movie schedules for animated movies in the neighbourhood,1
What are the movie times for animated movies in the area?,1
What is the movie schedule for movies in the neighbourhood ,1
give me the movie schedules for Southern Theatres,1
What is the movie schedule of animated movies nearby,1
Are there any animated movies playing in the neighborhood?,1
What time is Return from Hell playing at the nearest movie house,1
whats the closest movie house showing Medal of Honor,1
When is Eye of the Spider playing at Regal Entertainment Group?,1
when are animated movies playing at Goodrich Quality Theaters,1
Find the movie schedule for National Amusements.,1
When is You Walk So Softly playing at Kerasotes Theatres,1
Find me a showing of The Vanquished that starts nine hours and 1 second from now.,1
"When is For One Night playing at Loews Cineplex Entertainment?
",1
I'd like to watch Mission to Mir,1
show the schedule of movie The Statue,1
When is Em4Jay playing at the movie theatre?,1
Find the movie schedule.,1
What are the movie times for films playing nearby,1
What are the current movie schedules for AMC Theatres?,1
Is The Country Doctor on the schedule at any theater near me?,1
Are there any animated movies playing at the closest cinema?,1
Where can I watch The Mark in a cinema,1
what movies are on the movie schedules for five hours from now in the neighbourhood,1
What's the movie schedule for animated movies in the neighborhood,1
what is the movie schedule for animated movies playing close by,1
What time are films showing at KB Theatres,1
show the movie schedules and films in the area,1
show me the movie schedules,1
I'd like to see movie times for animated movies playing in the neighborhood that are starting now.,1
I'd like to watch I Wish at the nearest movie theatre,1
What movie house is showing Flower and Snake at 08:56:29?,1
show movie schedules,1
what movie theatre is showing Manorama Six Feet Under,1
When is Scaramouche playing?,1
show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.,1
What time is Tommy and Quadrophenia Live playing at Marcus Corporation,1
Find the schedule for The Tale of Sweeney Todd at seven o'clock.,1
find start time in 12 seconds for National Bomb,1
When will Third Person Singular Number be playing?,1
Where is Project A Part II playing?,1
Which films are playing at the IMAX Corporation?,1
find Half a Truth,1
showtimes for the closest movie theatre that is showing Operation Autumn,1
What theater is playing Haunted Honeymoon ,1
List movie times at Harkins Theatres,1
What animated movies are showing in the neighborhood ,1
Find time for All About Hash,1
What movie schedules are at National Amusements,1
Can you tell me the movies playing at United Paramount Theatres,1
Find time for Ace of the Saddle,1
Is The Day of the Beast playing at three p.m.?,1
What films are scheduled around here?,1
Is A Tree Grows in Brooklyn playing in one hour,1
show the movie schedule,1
find films with movie schedules that are nearby,1
Which animated movies are playing at the nearest movie house?,1
find Hear Me Good,1
what is playing for movies at B&B Theatres,1
what movies are at Loews Cineplex,1
At AMC Theaters what is the movie schedule?,1
can i get the movie schedule for Goodrich Quality Theaters,1
Tell me what movies are at AMC Theatres.,1
What time is High Schools playing,1
Find me The Age for Love playing at the closest movie house.,1
Find the movie schedule for B&B Theatres.,1
Where is the closest cinema playing Soapsuds and Sapheads,1
Can I get the showtimes for the closest movie theatre that has the newest films.,1
Let me have the movie schedules for General Cinema Corporation,1
Go to movie times at IMAX Corporation,1
Find the schedule for The Tooth Will Out at sunrise.,1
What is the movie schedule like,1
I want to see movie times at Neighborhood Cinema Group.,1
I need to see some movie schedules,1
What is the movie schedule for Train,1
What time is Mighty Morphin Power Rangers: The Movie at Magic Johnson Theatres?,1
When can I catch a screening of Shivers in Summer?,1
What time is Ghostbusters - Acchiappafantasmi playing at IMAX Corporation,1
What theater is playing Death Drums Along the River at 5 PM,1
Show me the movie schedule for Star Theatres,1
Find the closest cinema playing Little Red Monkey.,1
Find the schedule for The Kentuckians.,1
I need movie times at Fox Theatres around zero PM,1
There can I find The Beggar Maid playing,1
find nearby films with movie schedules,1
Where is the nearest cinema that is playing films,1
Showtimes for animated movies in Malco Theatres?,1
show me the schedule of The Loves of Letty in cinema closest,1
Which movies are playing in the neighborhood?,1
What movie theatre is playing The Deaths of Ian Stone,1
What are the movie times for films nearby?,1
What are the movie times for the Marcus Corporation,1
What is the local movie schedule,1
Find movie schedules at IMAX Corporation,1
What time is High Spirits playing?,1
What is the nearest movie theatre playing The Collaborators,1
find a movie schedule for United Paramount Theatres,1
Show me the movie schedule for Neighborhood Cinema Group,1
Find time for movies at the closest cinema,1
SHow me the nearest movie house showing Moron 5 and the Crying Lady,1
Which animated movies are playing at the nearest movie house?,1
What is the nearest movie house playing New York Melody,1
Find movie schedules.,1
When is Crime and Punishment U.S.A. showing?,1
Shoe the movie showings for the closest cinema showing international movies,1
find Set the Thames on Fire for seventeen,1
Show the movie schedule for Cooper Foundation at 9 o'clock,1
What time are the animated movies starting at the nearest movie house?,1
What movies are playing at Marcus Corporation?,1
find Naomi & Wynonna: Love Can Build a Bridge,1
Is The Johnstown Flood playing,1
find movie schedules for me,1
Give me the movie times at Warren Theatres.,1
Find the movie schedule for Great Escape Theatres.,1
Find the movie schedule for Amco Entertainment 1 minute from now.,1
can I get the movie times,1
I want to see the movie schedule for North American Cinemas,1
Is The Big Job playing at the nearest cinema?,1
Find a movie schedule.,1
I'd like to watch movies at the closest movie theatre,1
What is the nearest cinema playing The Oak,1
What movies are scheduled at the nearest movie theatre?,1
What movies are playing at Cineplex Odeon Corporation?,1
Show the latest animated movies movie times for the nearest movie house,1
Find the movie schedule for animated movies close by.,1
what time is Bhoot Returns showing at Douglas Theatre Company,1
Is A Short Film About Killing at North American Cinemas,1
What are the movie times for films playing in the area?,1
Find time for Hendthighelbedi at the nearest cinema,1
Find the schedule for for Corn at eleven A.M. at Loews Cineplex Entertainment.,1
What time will the Amco Entertainment  be plying The Teeth of the Tiger,1
Find movie schedules for  United Paramount Theatres.,1
What animated movies are playing at the closest movie theatre,1
Find the schedule for To Shoot an Elephant at the nearest movie theatre.,1
find the nearest movie house with Pirates of the 20th Century,1
What animated movies are playing at the closest movie theatre,1
find close by movies movie times,1
I need movie schedules,1
Show me when and where I can see Song of Summer,1
I'd like to watch movies at the closest movie theatre,1
When is Man in Outer Space playing at Megaplex Theatres,1
find a movie schedule,1
find A Feather in Her Hat at Magic Johnson Theatres,1
what is the movie schedules for animated movies nearby,1
What animated movies are there nearby?,1
"Show me the nearest movies at movie theatre for twenty one o'clock
",1
i want to watch Ghosts of the Abyss at Kerasotes Theatres,1
Find the movie schedule.,1
CAn I get the the showtimes for The Jade Faced Assassin cinema?,1
What time is The Christmas Toy playing at Loews Cineplex,1
I want to see the movie schedules for animated movies around here.,1
what kind of films are at the closest movie house,1
What are the movie times at Goodrich Quality Theaters?,1
where is The Cycle playing,1
What movie times are there for 5 p.m.?,1
Where is the nearest cinema playing Rainbow Eyes that starts in one minute?,1
Is Thenaruvi playing at the Douglas Theatre Company in one hour?,1
Find movie schedule for animated movies in the area,1
Show me the movie schedules for any animated movies playing close by?,1
show movies at the nearest movie house,1
I'm wondering if I can watch Heyy Babyy at a cinema.,1
List movies by movie times in the neighbourhood,1
movie schedule at Speakeasy Theaters,1
What movies are playing nearby?,1
find the closest cinema with animated movies,1
What animated movies are playing at the nearest movie theatre?,1
Provide me the movie schedules,1
I'd like to watch movies at Amco Entertainment,1
"find National Amusements with Honey, I Shrunk the Kids",1
I need movie times in the area for any type of movies,1
Where is the nearest movie theatre I can go watch films today?,1
What animated movies are playing AMC Theaters,1
What time is Three Cuckoo Clocks playing?,1
Show movie times at Kerasotes Theatres,1
"What time is Balkan Rhapsodies: 78 Measures of War playing at Malco Theatres?
",1
When is Robotix playing?,1
show me the schedule of movie The Duchess of Langeais in cinema,1
Find the movie schedules for Speakeasy Theaters.,1
Show me movie times at the Pacific Theatres for the movie The Hot Rock,1
whats the nearest movie house showing animated movies,1
find movies nearest to a movie house,1
Is Warhead playing at AMC Theaters,1
Is Judgment Day: The John List Story playing at Megaplex Theatres?,1
What time is Too Young to Marry showing,1
When is The Jailbird showing at United Paramount Theatres,1
Are there any animated movies playing at the Mann Theatres?,1
What time is the nearest cinema playing The Hopes of Blind Alley,1
Can I get the movie times for films in the neighborhood?,1
What movie theatre has A Matter of Wife... And Death,1
what time is The Graduate showing at Caribbean Cinemas,1
"What is the movie schedule at Caribbean Cinemas
",1
Find the schedule for films at night at Great Escape Theatres.,1
Showtimes for the Alamo Drafthouse Cinema for todays movies.,1
"what are the movie schedules for Great Escape Theatres
",1
find meal time movie times close by for movies,1
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres,1
i need movie times for movies in the area,1
Give me the showtimes for animated movies at the nearest cinema.,1
Give me movie times,1
find Shanghaï Express,1
Find time for the movie schedule ,1
"Where is the closest movie theatre playing Yo, robot",1
When is Stripped to Kill II: Live Girls playing at the nearest movie house?,1
what movies are showing nearby,1
Which films are playing at Malco Theatres?,1
Find the movie schedules,1
find The Watcher at United Paramount Theatres,1
When is Percy Jackson playing at the movie theatre?,1
what time is Utamaro and His Five Women showing at Alamo Drafthouse Cinema,1
Find the schedule for the closest films at a cinema at meal time.,1
What movie times are at Bow Tie Cinemas?,1
I'd like to see a movies  at the nearest movie house,1
Which films are playing at the closest cinema?,1
What is the movie schedule in five minutes for movies playing in the neighborhood ,1
I want the nearest movie house with The Debtors,1
List the movie schedule for Regal Entertainment Group theater.,1
Find the schedule for animated movies in the neighborhood.,1
"Where is the closest cinema playing A Drink in the Passage
",1
Where is The Wilderness Trail playing,1
find a movie theatre with Life and Death,1
Can you provide me with movie schedules for Century Theatres?,1
What time does The Maze start at Cineplex Odeon Corporation,1
Please find the movie schedule for animated movies playing in the neighbourhood ,1
when is Our Story showing next at North American Cinemas,1
What time is The Graduates of Malibu High playing at Cobb Theatres,1
Fine a movie schedule.,1
Can i get todays showtimes for Le Flic de Beverly Hills 2?,1
Can I get The Marine 2 showtimes.,1
Where is Mother and Child plkaying,1
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas,1
What time is Sundown: The Vampire in Retreat showing,1
"What animated movies are playing at KB Theatres
",1
What movie schedule are in the area for animated movies,1
show movie schedules for Fox Theatres,1
what animated movies are showing in the area ,1
i want to see some movies in a B&B Theatres,1
What are the movie times at the Malco Theatres?,1
What films are showing in the neighbourhood?,1
find movie schedules for Loews Cineplex,1
Show me the nearest movie house showing The Luckiest Girl in the World,1
What time is The Cobbler playing  at the closest movie theatre?,1
can i have the movie schedule for IMAX Corporation,1
what are the movie times for United Paramount Theatres,1
Find the schedule for Better This World at a movie house.,1
give me the movie schedule at Santikos Theatres,1
Find movie times.,1
Can I get the movie schedule for 8 a.m.?,1
What films are showing in the area?,1
What time is The Daring Dobermans playing,1
I'm looking for a movie schedule at the Cooper Foundation.,1
What is the closest movie house  playing films,1
what is the nearest movie house showing animated movies,1
What is the movie schedule for films that are playing nearby in 15 minutes,1
What movies are currently at Star Theatres?,1
when can iw atch Great Balls of Fire! - Vampate di fuoco,1
Find the schedule for Metallica Through the Never.,1
what animated movies are at the nearest cinema,1
movie times at Warren Theatres,1
I need a schedule for the cinema that is showing The Shiralee,1
When can I see Journey to the End of the Night?,1
show movie schedules,1
What time is The Taking of Pelham 1 2 3 playing at the movie theatre,1
What time is The Burning Season playing,1
Is Love Coach playing at Speakeasy Theaters?,1
Find the schedule for Kingsman: The Secret Service at a movie theatre.,1
What time is Always Brando showing,1
Show the movie schedule,1
What's on the movie schedules at Amco Entertainment?,1
I'm wondering when I can see Beating Heart at the nearest cinema.,1
Check films screened at the closest cinema,1
I want to know the animated movies playing at Malco Theatres,1
what time is The Dungeonmaster playing at AMC Theaters,1
Is Lord Jim at the movie house,1
I want a list of showings of Days of Fire at Harkins Theatres,1
"I'm looking for movie times, search movies close by that start at 11:12.",1
What time is the Wanda Group playing The Honor of an Outlaw,1
show movie times for animated movies nearby,1
fimd films around here,1
What local movie house is playing Beat the Drum,1
What film is playing at Landmark Theatres,1
Find the movie schedule for animated movies in the neighborhood.,1
What movie times are Harkins Theatres,1
FInd the movie schedule for nearby movies.,1
Find the schedule for Tube at the closest movie theatre.,1
Show me the movie times for animated movies that are in theaters close by,1
find a brunch time cinema nearest with The President Is Coming,1
When is Purple Heart scheduled at the nearest movie house?,1
What animated movies are playing now in the neighborhood ,1
When will the Santikos Theatres be showing animated movies,1
What is the movie schedule right now for movies around here,1
Where will The Blonde from Peking be playing,1
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?,1
find a movie house with Ulterior Motive that is closest,1
Which movie theatre is playing The Good Guys and the Bad Guys?,1
What times will The Young Swordsman be showing at a local cinema?,1
Find the movie schedule.,1
what's the closest movie house showing Night in May,1
Please find me the nearest cinema playing Foreign Intrigue.,1
Where and when is This Is England playing,1
what time is The Rocketeer showing,1
what's the closest movie theatre that is playing films,1
find movies that are nearby,1
What movie theatre is playing Shed No Tears,1
Find the movie schedule for ArcLight Hollywood.,1
Can I get the newest listings for movies at Harkins Theatres,1
Find the movie schedule.,1
What time is Pussyfoot playing at Pacific Theatres?,1
Find the movie schedule for Cooper Foundation.,1
Tell me when Howling II: Your Sister Is a Werewolf is playing.,1
What time is Southern Theatres showing Ukraine Is Not a Brothel?,1
show the schedule of movie times,1
find Worldly Goods starting now at a movie house,1
What is Dear Old Girl Cooper Foundation,1
Which animated movies are playing today at KB Theatres?,1
What time are films showing in the neighborhood,1
What are some movies playing in the neighbourhood?,1
List movie times at General Cinema Corporation,1
Can you bring up the movie schedule for ArcLight Hollywood?,1
Is Live from Sturgis 2006 playing at four o'clock at the nearest cinema?,1
what movie theatre closest to me is playing animated movies and when,1
what animated movies are at Cobb Theatres,1
find movie times,1
Find the schedule for Idols of Clay at a movie house.,1
