request,RateBook
Rate the current novel 3 of 6 stars,1
Rate The Watsons four of 6 stars,1
this novel should get zero points for how intrepid it is.,1
"I didn't like the book Nobody Lives For Ever, I give it a 2.",1
rate this current book album four stars,1
Give the current novel 5 points,1
give Death on the Nile a three,1
Rate The Gorilla Hunters 0 stars,1
Rate this current essay three out of 6 stars,1
this is rated 5 out of 6 for an essay,1
rate the current album one points,1
I give a zero rating for this essay,1
Rate this book a zero,1
Rate the current album 3 of 6 stars,1
Rate The Secret of Dr. Honigberger 2 points out of 6,1
Rate this chronicle three of 6 stars,1
"I rate the chronicle, Son of the Tree with four of 6 points.",1
This current album deserve 0 points and a best rating of 6,1
I rate The Variation of Animals and Plants under Domestication a value of 0,1
Rate this textbook a zero,1
The current textbook Gets 3 stars,1
Rate The Stars Shine Down 5  ,1
Give one / 6 points to Who Will Cry When You Die,1
I think this essay should be given four points and a best rating of 6,1
"For this current saga I give 5 out of 6 possiable points

 
",1
I give The Lacuna a rating of 5 stars under the chronicle rated at 6,1
give zero point to this textbook,1
I give the current book two out of 6,1
rate this album book zero out of 6 points,1
I am rating this book 5 out 6 points,1
rate If Tomorrow Comes 2 of 6 stars,1
rate the current chronicle series 3 out of 6 points,1
Rate this novel three out of 6,1
I give One Clear Call zero out of 6 points,1
rate The Practice of the Presence of God one of 6 points,1
give 0 out of 6 points to this essay,1
I would give Half a Life 3 out of 6,1
rate the Beyond Black saga a one,1
Rate this essay a four,1
Rate the current novel 5 of 6 points,1
give 5 out of 6 points to Short Trips: A Universe of Terrors,1
I give this book Dictionary of the English Language a 4 rating,1
"rate Of Old Hearts and Swords a 0
",1
give the following essay one stars,1
give one points to current book,1
rate the current novel zero points,1
I am giving this novel 3 stars,1
And a body to remember with gets a full 5 stars.,1
Rate Witchcraft and Paganism in Australia 1 points out of 6,1
Rate the current textbook one of 6 stars,1
rate The White Goddess 2 of 6,1
I am rating this book under the series section a three out of 6 stars,1
Rate the current essay 5 of 6 points,1
"For this novel I give a rating of 4 out of 6
",1
I give Ruled Britannia a rating of five out of 6.,1
Give 4 points / 6 to Last Day in Limbo,1
I rate 4 of 6 points for this textbook,1
this book gets a 1 out of 6 rating from me.,1
I want to give Think Like a Freak one stars,1
rate the current essay a one,1
The Voyage of the Dawn Treader deserves 5 points.,1
Award Blood tables 2 points,1
Give the current novel a one out of 6 rating.,1
"Who rated the book Women, Culture, and Society only 3 stars?",1
rate the current textbook zero out of 6 points,1
give two out of 6 to current book,1
I give this last novel only 1 points,1
Rate the current textbook a 4,1
give four points to current essay,1
The Cool World gets 4 points,1
rate The Sunrise Lands a zero,1
Rate Lords of the Rim zero stars,1
"Give The Frog Prince, Continued 2 points out of 6.",1
Rate Sandworms of Dune three out of 6 stars,1
Rate current book 2 of 6 ,1
rate the current book 5 of 6 points,1
score this album 5 stars,1
I give The Universe Maker a rating of zero,1
give 3 points to current textbook,1
A Day No Pigs Would Die deserves a best rating of 6 and a value of 4,1
I think the current album should get a four out of 6 rating. ,1
"rate Goodbye, Mr. Chips one stars",1
The current album deserves 0 stars,1
Give this chronicle a 4,1
give one out of 6 points to this essay,1
I'd like to give a two rating to The Abolition of Britain.,1
"rate the current book 0 of 6
",1
Rate They Came from the Sea 1 of 6 points,1
the stars for Behind the Beat should number four for this chronicle,1
I think Memorial Day should have a rating value of 3 and a best rating of 6,1
I want to give the current textbook 0 stars,1
Glory Season deserves a perfect 5 points.,1
give three out of 6 points to this album,1
I give a rating of four to this textbook.,1
rate this essay four stars,1
Rate current essay a zero,1
rate the current essay a 0 for me,1
give Begums Thugs and White Mughals four points,1
give Portions from a Wine-stained Notebook: Short Stories and Essays 0 points ,1
I would rate The Kid from Hell a value of 1 and a best rating of 6,1
rate the current novel five out of 6 stars,1
Rate Notes from the Internet Apocalypse four of 6 stars,1
Rate this novel four of 6,1
Give Letty Fox: Her Luck 4 out of 6 stars,1
I give the current textbook 0 of 6 points,1
give this album a 4 out of 6,1
give two points out of 6 to this essay,1
rate the current saga 4 of 6,1
Rate this essay with three of 6.,1
"rate the current essay with 4 points
",1
Rate this essay a four,1
Give this novel a rating of 1 points.,1
Rate current book 0,1
rate Six Months in Mexico 1 out of 6,1
Give two stars to Scribblings,1
"I want to give Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History two out of 6 points",1
Rate this book 0 of 6 points,1
Rate The War of the Roses 2 out of 6,1
Rate The Longest Day with zero stars out of 6.,1
Give Star Trek: The Motion Picture a five out of 6.,1
Rate Colorless Tsukuru Tazaki and His Years of Pilgrimage one stars,1
I only give Blood Work two stars,1
rate the current chronicle a five,1
"give The Last Child 4 of 6
",1
For this current essay I give 5 of 6 points,1
Rate my current textbook four out of 6,1
give 4 out of 6 stars to this textbook,1
Give this album 0 stars,1
Rate the current novel one of 6,1
this essay is five stars for sure,1
Rate this book a five ,1
I give The Screaming Staircase a five.,1
rate the current series 1 points,1
rate Lost Empires of Faerûn five of 6 stars,1
give 0 points to The Eudaemonic Pie,1
The Evil Experiment gets zero out of 6 points,1
Rate my current album 5 points,1
Rate the current novel 5 of 6 points,1
Rate this novel 1 of 6,1
I would rate this essay 2 stars and a best rating of 6,1
rate my current novel four out of 6 stars,1
I would say this essay deserves four points,1
I would like to rate the book The Three Impostors 2 to 6 stars.,1
rate the current textbook 2 out of 6,1
Rate this book three out of 6,1
Rate Mimi and the Biscuit Factory 5 out of 6,1
rate Varney the Vampire with 1 points,1
Rate The Doors of Perception 3 stars,1
give 4 stars to this essay,1
Rate the current textbook five of 6,1
the series City on Fire is a four,1
Rate the Why Is Sex Fun? saga two of 6,1
I want to give Panther in the Basement four points,1
rate the book The Ninth Avatar 3 out of 6 stars,1
Give Love in the Time of Foreclosure 4 of 6,1
Rate the current textbook four out of 6,1
I would rate The Persistence of Vision 1 stars and a best rating of 6,1
Give this current book zero out of 6,1
I want to rate A Long Short War series a four out of 6. ,1
Give Physics of the Impossible four points.,1
I want to give this album 4 stars,1
Add rating of 5 to this novel,1
rate this album one stars,1
For the book The Sting of the Scorpion I give three of a possiable 6 rating,1
Rate the Rogue Lawyer 4 out of 6,1
Give three points out of 6 to One Hundred Poems of Tukaram,1
I want to give Elephants Can Remember 4 out of 6 points,1
Rate this album three of 6 points,1
rate This Is How You Die chronicle a one,1
rate the book Giants of the Frost two out of 6 points,1
I think this textbook should have a rating of four and a best rating of 6,1
I give this novel a 0 out of 6 rating,1
give zero points to this essay,1
rate this book 3 stars,1
I would like to rate this album 3 points and a best rating of 6,1
rate the current album 5 out of 6 points,1
give Power of Faerûn two of 6,1
rate this album 2 points,1
"rate the current chronicle 0 of 6
 stars",1
Rate this essay a two out of 6,1
Rate this current essay 1 out of 6 points,1
Give this book chronicle four stars,1
Rate this essay five points,1
Rate this essay five stars,1
give this textbook a 5 out of 6 rating,1
Rate The Philosophic Thought of Ayn Rand three of 6 stars,1
Give The Whisperer a rating of 0.,1
Can you rate this novel as a four?,1
rate the last textbook three stars,1
Please rate Think Like a Freak 3 points out of 6.,1
the current book I'm reading should be rated zero out of 6,1
I give The Battle of Bretton Woods saga two of 6 stars,1
Rate this album 0 points,1
give five out of 6 stars to current essay,1
this saga is definitely worth 4 stars.,1
gve 2 points to The Stinky Cheese Man and Other Fairly Stupid Tales,1
"Give The Crisis, one / 6 points",1
I gave Chart Throb 4 of 6 stars,1
rate this book called Kings of the High Frontier four points,1
Give this book a rating of two out of 6.,1
I give this album a 0 of 6 stars,1
I want to rate the Selected Letters of H. P. Lovecraft I saga 3 stars,1
Rate the current album a 3.,1
"rate the book series I, Robot one out of 6 stars",1
I give this current textbook five stars,1
this chronicle gets a three out of 6.,1
Give this novel two points,1
give one out of 6 points to current series,1
Rate this textbook two out of 6,1
"For the textbook, out of 6 possible I give the following one a 3.",1
Rate this textbook 1 of 6,1
rate the current series a zero,1
rate The Detective a 3 out of 6,1
give 0 points to The Hand in the Glove,1
rate this novel a 1 of 6 for me,1
I give this essay 0 of 6 stars,1
Rate this album 3 out of 6,1
Rate The Last Opium Den 0 points,1
rate the current essay 2 stars,1
Give the current series a one.,1
Give the current part of the series 1 points.,1
Rate In Search of Our Origins two points out of 6.,1
rate this book The Book of Snobs 1 points,1
give the Racing the Rain saga zero stars,1
Programming the Universe is average and deserves three stars out of 6. ,1
For this series I give the rating of four of 6 stars,1
I think this book should have a rating value of 1 and a best rating of 6,1
I would rate The Door to December 3 points and a best rating of 6,1
this textbook only gets two out of 6 stars,1
I rate the current textbook a 0 of 6,1
Give this book 1 stars.,1
Give this book zero stars,1
I am giving Paedophilia: The Radical Case a rating of 2 out of 6 points,1
put a rating of 0 out of 6 to this chronicle,1
give 0 to The Sky Village,1
"I give a rating of 2
 to the book Swine Not?",1
four out of 6 stars for the previous essay,1
add five stars to my current chronicle,1
I want to rate The Medici Seal two out of 6 points,1
I would give this current novel 2 stars with a best rating of 6,1
Rate the current book a zero.,1
Give The Fox and the Hound a 1,1
give 4 out of 6 stars to current chronicle,1
five points for this novel,1
rate the Broke: Who Killed the Middle Classes? chronicle a five,1
rate this novel five points,1
rate Gray Mountain a zero,1
rate this essay four out of 6,1
I would rate Oblivion: Stories a two,1
the last essay is a 2 out of 6,1
I gave the current chronicle a 3 of 6,1
The Battle for Skies gets a three,1
I would give the series History Decoded: The 10 Greatest Conspiracies of All Time a rating of 3 points,1
Rate Political Liberalism 1 out 6 stars,1
Please rate the current album 4 stars.,1
Give this chronicle 4 stars,1
rate the previous essay four of 6 points,1
I want to give The First Person and Other Stories 0 out of 6 stars,1
rate the current album 2 points out of 6,1
rate the book The Egoist five out of 6,1
give 1 out of 6 points for Collected Works,1
rate this book a zero,1
Rate the current book 0 stars,1
rate Winnie-the-Pooh four out of 6,1
Rate The Man from the USSR and Other Plays a 0,1
Give this book a rating of 3 out of 6 points.,1
rate the book Oath of Swords three for 6,1
Rate The Strange Death of Tory England 1 stars,1
I am giving the current book two stars,1
rate First Man: The Life of Neil A. Armstrong three of 6,1
Rate Secret Weapon a four,1
Rate the current book zero of 6 stars,1
"rate the current textbook 4 of 6
 points",1
Rate A Division of the Spoils 5 stars,1
I would rate this book a value of 3 and a best rating of 6,1
rate the book Strumpet City zero for 6,1
Give five points to An Ice-Cream War,1
give 3 out of 6 points to The Secrets of Love,1
Give the current novel 4 of 6 stars,1
Rate Renewable Electricity and the Grid one stars out of 6,1
Rate my current book five points out of 6,1
give Jackass Investing a three,1
Rate 5 out of 6 points to My Favorite Fantasy Story,1
rate this textbook a 4,1
Rate this essay 4 of 6 stars,1
I gave the current series 0 points,1
Rate the At the Villa Rose series 3 of 6,1
rate this book 1 out of 6,1
put a rating on this book of three,1
Rate this novel 3 out of 6 points.,1
give 2 out of 6 stars to current chronicle,1
This current book only nets 3 out of 6 points,1
Give this book 2 out of 6 stars.,1
Rate the current book 3 out of 6,1
rate Peveril of the Peak a five,1
Rate The Empty Throne a 4,1
When Religion Becomes Evil is only worth 1 stars,1
I give the previous novel one out of 6 stars.,1
Dragon Age: The Stolen Throne gets 1 points,1
Assign 0 points out of 6 to The Gate of Worlds,1
I want to give The Cat Who Walks Through Walls a 1,1
I give the last textbook one out of 6 points.,1
Give Beauty Is in the Street three out of 6 stars,1
Rate Making Sense of Marx 2 stars.,1
"give Song of Scarabaeus five of 6
 stars",1
Rate this essay 1 stars,1
I'd rate this essay 1 out of 6,1
I rate Observations one points,1
give Wannabe: How The Spice Girls Reinvented Pop Fame 2 points,1
I give Life During Wartime a one out of 6.,1
"Rate Cotton Comes to Harlem a 2
",1
Add a rating of zero points out of 6 to The Inheritance of Loss,1
For the book The Mirrored Heavens  I give one of a possiable 6 stars,1
I give this book a 3 out of 6 .,1
I would rate this novel a four,1
rate Break No Bones series a 1 of 6,1
rate the current album 5 points,1
Give the Televised Morality series a one.,1
rate this chronicle a 0,1
rate the book saga A Coin in Nine Hands 0 points,1
The Complex: How the Military Invades Our Everyday Lives has a best rating of 6 stars but I will give it zero,1
this album is rated at a 0 out of a possible 6.,1
Give two points to One Virgin Too Many,1
Can you give this textbook a 2 out of 6?,1
give 4 out of 6 stars to this textbook,1
I rate the book Creature in the Teacher 3 stars,1
Rate the current book a three,1
rate this book titled The Gray Prince 5 points,1
"Rate this novel 4 out of 6
",1
Give this essay four stars / 6.,1
I rate the book Time and Stars  two points,1
Rate my current novel 3 out of 6,1
I want to give this book three out of 6 stars,1
Rate The Bishop a 1,1
Rate The Joy of Gay Sex a 5 out of 6,1
Rate this textbook zero stars,1
add this current book five stars,1
I rate Monster Mythology 3 points.,1
The Coming Insurrection should get a rating of 1,1
Give the book Buzz about Bees a 2 star rating out of 6.,1
I want to rate the current textbook with 4,1
this album is five stars.,1
Rate Adventures in Stationery saga 5 stars,1
Freud: A Life for Our Time deserves a solid 4,1
Give this textbook 3 stars.,1
rate this novel four stars,1
Rate this album a 2,1
Rate my current album 3 stars,1
I would give Basic Battle Skills a rating of four,1
I would rate Tree of Smoke a value of two or a best rating of 6,1
Rate the current novel 1 of 6,1
out of 6 give The Morganville Vampires a 1,1
give 0 out of 6 stars to Reality of Certainty,1
Diana in Search of Herself is average and gets a 3 out of 6 points,1
Rate this saga two with a bet rating of 6,1
I am giving this current novel 4 out of 6 stars,1
I want to give the current textbook 2 out of 6,1
Rate In the Eyes of Mr. Fury zero of 6,1
Rate the current novel 5 of 6,1
Give Signals of Belief in Early England four of 6,1
Rate Dictionary of the English Language a 4,1
Give the current essay 3,1
Rate this textbook a 1,1
give 5 out of 6 stars to Creatures of Light and Darkness,1
Rate The Loneliness of the Long Distance Runner 0 points / 6,1
Rate this essay two out of 6 stars,1
this saga is definitely worth 4 stars.,1
Rate Blood and Gold saga 0 points,1
Give The Body Artist a 5.,1
Rate this book four stars out of 6,1
Rate Seeing with the Eyes of Love 5 points,1
I'd rate the chronicle called The Art of Loving 3 points out of 6,1
Rate Hocus Bogus a 4.,1
Rate The First Death 1 stars,1
Rate the current novel 3 points.,1
Rate Cold Light 5 out of 6 points.,1
rate the book The Outlaws of Sherwood two stars,1
Rate The Demolished Man a five ,1
give 3 out of 6 stars to this essay,1
I giv the current novel a four,1
I would give zero stars to A Concise Treatise on the Art of Angling out of 6.,1
Rate my current book 3 out of 6,1
give zero out of 6 points to The False Peace,1
4 stars out of 6 is the rating for Fires of Azeroth,1
Rate this novel 0 of 6 stars,1
Give A Mile Beyond the Moon five points,1
rate The Confidence-Man 3 points,1
"rate Animals of the Bible one of 6
 points",1
Rate the current book 1 of 6 points,1
I give 1 stars out of 6 to this current series.,1
the stars total 6 but Journey Under the Midnight Sun gets a four,1
I rated The Island of Adventure saga a 2 of 6,1
Rate The Art of Nijinsky 5 points,1
"rate the current essay four of 6
 ",1
"I'd give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",1
Rate this album five out of 6 stars.,1
rate The Brothers Karamazov a four,1
rate Atop an Underwood: Early Stories and Other Writings 0 out of 6 stars,1
give three stars to current essay,1
Give this novel 5 stars,1
Rate the current album a five out of 6,1
Rate A Taste of Blackberries  a three,1
I give zero points to this chronicle,1
I would rate this chronicle a value of 1 and a best rating of 6,1
rate Mandela: The Authorised Biography a one,1
I'd like to give a rating of 4 to this current book.,1
I give the previous saga 4 out of 6,1
Rate The Autobiography of Alice B. Toklas 1 out of 6 stars,1
i give The Aquariums of Pyongyang 3 out of 6 stars,1
rate The Odd Angry Shot five points,1
Give A Kentucky Cardinal four points,1
four points for this essay,1
I would rate Eater of Wasps a value of zero and a best rating of 6,1
give 0 out of 6 points to The Paper Men,1
Rate the current essay zero points,1
rate this series one of 6,1
give this textbook zero out of 6 points,1
Rate my current essay a 2,1
Please give 1 points to Waiting for the Mahatma.,1
I give The Cat and the King 2 stars.,1
"The Naked and the Dead was pretty good, I'd give it four stars.",1
"I would rate this book chronicle, 3 out of 5 stars.",1
The book History of Shit should be rated 2 out of 6.,1
Rate The White Body of Evening  one of 6,1
I want to give Select Conversations with an Uncle 5 stars,1
Rate the current essay 4 out of 6,1
National Lampoon Tenth Anniversary Anthology 1970–1980 is a 4 out of 6 read,1
Rate The Night Land three out of 6,1
rate the current novel one out of 6,1
this album is the last and rated five,1
rate the book The Orchard Book of First Greek Myths a 0,1
Gie this textbook 3 stars,1
Rate the current novel two stars,1
I give The Lady Decides a rating value of 4 and a best rating of 6,1
I'd say Life in the Iron Mills was a five,1
rate this saga 4 out of 6 stars,1
The current essay only deserves one out of 6 points,1
give the current textbook 1 out of 6 stars,1
rate Beaver Towers five out of 6 stars,1
rate the last series one of 6 stars,1
I feel that zero out of 6 points would be the rating of Queen of the Dawn.,1
I would rate the chronicle The Monks of Thelema a 2,1
"I liked Ports of Call, I'd give it a 5 out of 6.",1
give The Council of Dads 1 out of 6 stars,1
rate The Citadel 1 out of 6 points,1
Give 4 stars to the current essay,1
Rate the current textbook 1 of 6 stars,1
I want to rate the saga The Italian two to 6 points.,1
rate The Pig Scrolls one of 6 points,1
the next book is worth two,1
rate Cousin Bette 5 points,1
Give four / 6 points to Empire of Death,1
Rate Recovery Road a three,1
Give the current series two stars.,1
The Comics We Loved gets 1 out of 6 points,1
I would give this current chronicle a value of 4 and a best rating of 6,1
The Mad Scientist Hall of Fame gets only a two out of 6,1
Rate the current essay zero stars,1
Rate To Live and Die in L.A. a four out of 6.,1
give 3 out of 6 points to current novel,1
Rate this current novel 1 out of 6 points.,1
4 stars for Three to Get Deadly,1
Give this album a five out of 6,1
Not Yet: A Memoir of Living and Almost Dying was one out of 6 stars,1
I give Out of Sync zero out of 6 points.,1
The book History by Contract is rated five stars in my opinion.,1
Rate What Is Called Thinking? 0 stars,1
rate this book saga 3 out of 6 stars,1
this textbook gets a two,1
Give the current textbook 5 / 6 points,1
Give this series 3 stars,1
rate the current book 3 out of 6 stars,1
give Heartland chronicle four points,1
Rate The Masks of Time zero of 6 stars,1
give 0 out of 6 points to current textbook,1
find five points called The Origins of Virtue,1
Rate my current book one stars,1
Rate this book four points,1
I would give this book a value of 2 and a best rating of 6,1
Rate Lord of the World a value of 4,1
I rate this essay 5 of 6 points,1
Rate this novel three out of 6 stars,1
i give the following textbook three points,1
give two out of 6 stars to current book,1
Rate this essay two stars,1
I rate Vivian Grey three.,1
give three stars to chronicle Falling in Love With Hominids,1
Rate The Principle of Hope 1 out of 6 stars,1
I want to give this current textbook 4 points.,1
I am giving this current novel 1 out of 6 stars,1
Rate the current textbook 4 out of 6 points,1
Give The Neon Bible three stars / 6,1
I give the current chronicle one of 6 stars,1
I rate this essay a two of 6 points,1
I would rate The Spoiler 0 stars,1
I give the next essay 4 out of 6 points.,1
Rate this current novel 5 points,1
Rate The Change 0 out of 6 points,1
Give the current book a one out of 6.,1
This current book deserves 1 points,1
Rate this textbook a three,1
Rate Voyages by Starlight a value of 0,1
rate the book Now and Forever 1 out of 6 points,1
Rate this book 3 out of 6 points,1
I feel like this essay deserves four stars,1
Rate Contesting the Future of Nuclear Power a four,1
this essay deserves 0 stars.,1
I would give Sentenced to Prism a rating of zero and a best rating of 6,1
rate this book a zero,1
Give Waiting for the Mahatma 5 out of 6 points.,1
For the book Deception I rate it four points,1
I rate The Mathematical Magpie chronicle a 0 of 6,1
Give Grand Conspiracy zero out of 6 points.,1
I'd like to rate this textbook 4 out of 6,1
rate this novel a three,1
give 1 stars to book Mr Ponsonby,1
rate the current textbook 3 out of 6,1
I am giving the book titled The Masters of Solitude a rating of two out of 6,1
I would rate this chronicle zero and a best rating of 6,1
rate this album one out of 6,1
I think this essay is only good for one stars,1
The Amityville: The Evil Escapes chronicle is only a 1 out of 6. ,1
Rate the current novel a 3 ,1
Rate the Casualties of Peace series one of 6,1
the following essay is worth four out 6,1
give two stars to current chronicle,1
The Latham Diaries deserves a rating value of 0 and a best rating of 6,1
give four out of 6 points to current album,1
Rate this novel 1 points.,1
Rate this novel at 2,1
rate this essay three of 6 stars,1
Give The Lost Princess 3 stars.,1
"Rate Shadow of Night a 1
",1
rate the book Line to Tomorrow three stars,1
"rate Eleanor Rigby a 3
",1
I rate Doom 3: Worlds on Fire a 1 of 6,1
the next novel is 4 stars,1
Give Twas the Night Before Christmas 0 points out of 6.,1
rate this textbook 4 out of 6 stars,1
I'd rate the current chronicle 2 points,1
Please rate this book and album 4 to 6 stars.,1
Make this essay two out 6 stars,1
give zero out of 6 points to Marxism and the Oppression of Women,1
I would give Dead Man Falling 5 points and a best rating of 6,1
give two points out of 6 to this novel,1
give 4 out of 6 stars to this textbook,1
Rate Maps for Lost Lovers 1 of 6,1
give 1 out of 6 points to this novel,1
Give this essay one star out of 6,1
Rate this album 4 points,1
"rate this book four of 6
 points",1
The Rats of Hamelin deserves zero points,1
rate this album 1,1
For this book I rate four points,1
I give Jonathan Livingston le goéland 2 of 6 points,1
rate The Overton Window series a two out of 6,1
Rate the current textbook with 2 points out of 6.,1
Rate The Natural a 4,1
Rate this album  zero stars,1
rate the current essay 5 points,1
"Of a total possible of 6, I think the current book is a five.",1
Rate my current book four points out of 6,1
Rate The Desert Column 3 out of 6 ,1
rate this essay two points out of 6,1
Rate the previous essay 5 out of 6,1
Give this saga a 5 out of 6 rating.,1
Rate this awful book called Cold with 0 out of 6 points,1
rate this chronicle 3 stars,1
For Mirrorshades I rate it three stars,1
I would rate this current series I'm reading a two out of 6,1
rate this textbook 2 out of 6,1
rate this novel 0 of 6 stars,1
I am giving the current novel a four out of 6 rating.,1
Rate Tropic of Capricorn two stars,1
Give The Lost World 2 points,1
give four out of 6 star to this novel,1
3 out of 6 for the last album,1
rate this book 4 out of 6,1
this current book is worth five,1
rate this current album five out of 6 points,1
Warriors of Legend gets a 3 out of 6,1
rate the current album two points,1
Rate the current textbook 3 of 6,1
Rate Homicide: A Year on the Killing Streets five stars,1
Rate this book zero out of 6,1
rate the chronicle following a 4,1
I want to give The Nightmare Fair five stars and a rating of 6,1
Rate the My Beloved World saga a one ,1
Big Breasts and Wide Hips is terrible and 1 out of 6,1
give one out of 6 star to A Girl Is a Half-formed Thing chronicle,1
Rate Wielding a Red Sword 0 stars,1
Rate this essay a 3,1
rate Secrets and Lies 2 of 6 stars,1
I'd give The Day of Reckoning four points,1
I feel that Sons and Lovers deserves a rating of 2.,1
Rate this album only three points ,1
give two out of 6 points to current textbook,1
Rate my current textbook 1 out of 6 points,1
rate Getting It Wrong from the Beginning a value of 4,1
I give the previous series four stars.,1
"give five star to The Second Angel series
",1
"give this novel 3 of 6
",1
Rate the current essay 3 out of 6 points,1
Give this novel two out of 6 stars,1
give this textbook a five,1
Remember the City nets five out of 6.,1
rate the current chronicle a zero,1
Give The Phantom Ship a zero.,1
Rate this chronicle 0,1
Give this chronicle a 4 out of 6,1
Rate the saga Rides a Dread Legion zero out of 6 points.,1
give three out of 6 points in current essay,1
Rate Encyclopaedia of the Social Sciences zero out of 6,1
Rate the White Lies chronicle 0 stars,1
give four star to current novel,1
I would give Bones of the Earth 2 points,1
I am giving this current essay zero out of 6 stars,1
For the current essay I give a total of 1 stars,1
Rate the current textbook a 0 out of 6.,1
I want to give The Coming of the Terraphiles a rating of 1.,1
Rate my current book 1 out of 6,1
I am giving the book After Henry a rating of 0 out of 6 stars,1
Rate this album one value,1
rate With Kitchener in the Soudan 2 stars out of 6,1
The current essay gets four points,1
Rate this textbook 2 points.,1
Rate current book two points,1
I would give the All That: Fresh out the Box saga a rating of 2 points,1
Rate 3 out of 6 points to Darkworld Detective,1
Rate this novel 5 out of 6 stars,1
I'd give The Mystery of the 99 Steps three stars out of 6,1
I give 4 of 6 stars for the saga A Severe Mercy,1
Rate this album three out of 6 ,1
I want to give the current textbook 0 out of 6 stars,1
Rate this album 2 stars,1
give 5 out of 6 points to Myths of the Hindus & Buddhists,1
the previous book is five out of 6 stars,1
give four points to this novel,1
Rate current novel two stars,1
Rate the current essay four out of 6.,1
Rate The Coming of Bill 3 of 6 stars,1
Rate this essay 4 out of 6 stars ,1
The current series deserves three stars. ,1
Give The Turning Point a 0 out of 6.,1
rate the book Indiana Jones and the Dance of the Giants 5 out of 6 stars,1
rate The Descendants two points,1
give Rathinirvedam a rating of 3 out of 6,1
Rate Equal Affections one points,1
Rate this book one stars,1
"rate Cock and Bull 5 of 6
 points",1
I think this novel gets 1 stars,1
Rate The Making of a Teacher a two,1
Rate this textbook 1 stars,1
I wish to give this textbook a zero out of 6 points,1
"rate this book 2
 stars",1
rate the last book 0 stars,1
I give the Flash series 0 out of 6.,1
I think that this book deserves a 3,1
Give the current chronicle 2 stars.,1
rate the current saga one stars,1
Rate the current album 3 points,1
Rate Peter and the Sword of Mercy 3 of 6 stars,1
rate The Lost Hero chronicle four out of 6,1
Out of 6 stars I give the chronicle three and look forward to what's next.,1
Give Souls in Metal four out of 6 points,1
"For the book Tale of the Toa I give five points 
",1
I give The Prestige a rating of 5,1
I give the Budayeen Nights saga five out of 6 points.,1
rate The Key Word and Other Mysteries 4 of 6,1
Rate this textbook 4 stars.,1
Give the current novel a 3 out of 6 rating,1
Rate the Deception chronicle one of 6 points,1
3 stars is the rating for Boy Meets Boy,1
Rate The Summer Job 5 stars,1
I give the following saga a 5.,1
Rate my current novel one out of 6 points,1
Rate this book 0 points out of 6,1
Rate this series one out of 6.,1
